station,event_id,start_idx,core_start_idx,core_end_idx,onset_steps,core_steps,recovery_steps,end_idx,start_time,core_start_time,core_end_time,end_time,duration_steps,core_duration_steps,min_speed,mean_speed,max_occ
400238,0,1616,1620,1622,4,3,4,1626,2025-01-06 15:20:00,2025-01-06 15:40:00,2025-01-06 15:50:00,2025-01-06 16:10:00,11,3,39.3,50.472727272727276,0.1615
400238,1,1806,1825,1825,19,1,32,1857,2025-01-07 07:10:00,2025-01-07 08:45:00,2025-01-07 08:45:00,2025-01-07 11:25:00,52,1,43.9,55.60961538461538,0.1368
400238,2,1890,1895,1895,5,1,4,1899,2025-01-07 14:10:00,2025-01-07 14:35:00,2025-01-07 14:35:00,2025-01-07 14:55:00,10,1,56.1,58.94999999999999,0.1006
400238,3,1925,1930,1933,5,4,5,1938,2025-01-07 17:05:00,2025-01-07 17:30:00,2025-01-07 17:45:00,2025-01-07 18:10:00,14,4,50.0,54.228571428571435,0.0981
400238,4,2082,2115,2116,33,2,25,2141,2025-01-08 06:10:00,2025-01-08 08:55:00,2025-01-08 09:00:00,2025-01-08 11:05:00,60,2,38.7,52.53,0.1438
400238,5,2164,2186,2186,22,1,18,2204,2025-01-08 13:00:00,2025-01-08 14:50:00,2025-01-08 14:50:00,2025-01-08 16:20:00,41,1,47.5,55.63902439024391,0.1379
400238,6,2206,2222,2223,16,2,7,2230,2025-01-08 16:30:00,2025-01-08 17:50:00,2025-01-08 17:55:00,2025-01-08 18:30:00,25,2,45.7,54.776,0.1225
400238,7,2382,2431,2431,49,1,8,2439,2025-01-09 07:10:00,2025-01-09 11:15:00,2025-01-09 11:15:00,2025-01-09 11:55:00,58,1,37.7,55.05862068965517,0.2033
400238,8,2459,2474,2474,15,1,3,2477,2025-01-09 13:35:00,2025-01-09 14:50:00,2025-01-09 14:50:00,2025-01-09 15:05:00,19,1,47.5,56.73684210526316,0.1242
400238,9,2482,2498,2498,16,1,6,2504,2025-01-09 15:30:00,2025-01-09 16:50:00,2025-01-09 16:50:00,2025-01-09 17:20:00,23,1,46.2,55.560869565217395,0.1185
400238,10,2505,2512,2516,7,5,5,2521,2025-01-09 17:25:00,2025-01-09 18:00:00,2025-01-09 18:20:00,2025-01-09 18:45:00,17,5,23.9,38.94117647058823,0.2382
400238,11,2771,2784,2786,13,3,17,2803,2025-01-10 15:35:00,2025-01-10 16:40:00,2025-01-10 16:50:00,2025-01-10 18:15:00,33,3,47.0,55.54848484848485,0.1376
400238,12,3535,3555,3557,20,3,19,3576,2025-01-13 07:15:00,2025-01-13 08:55:00,2025-01-13 09:05:00,2025-01-13 10:40:00,42,3,42.4,53.935714285714276,0.1476
400238,13,3622,3645,3645,23,1,7,3652,2025-01-13 14:30:00,2025-01-13 16:25:00,2025-01-13 16:25:00,2025-01-13 17:00:00,31,1,35.8,54.00322580645161,0.1777
400238,14,3815,3859,3860,44,2,16,3876,2025-01-14 06:35:00,2025-01-14 10:15:00,2025-01-14 10:20:00,2025-01-14 11:40:00,62,2,28.9,46.30967741935483,0.2324
400238,15,3905,3948,3949,43,2,6,3955,2025-01-14 14:05:00,2025-01-14 17:40:00,2025-01-14 17:45:00,2025-01-14 18:15:00,51,2,32.7,50.68039215686275,0.1847
400238,16,4097,4236,4237,139,2,17,4254,2025-01-15 06:05:00,2025-01-15 17:40:00,2025-01-15 17:45:00,2025-01-15 19:10:00,158,2,31.3,50.584810126582276,0.2235
400238,17,4397,4424,4426,27,3,12,4438,2025-01-16 07:05:00,2025-01-16 09:20:00,2025-01-16 09:30:00,2025-01-16 10:30:00,42,3,32.5,50.11904761904762,0.2353
400238,18,4493,4504,4504,11,1,6,4510,2025-01-16 15:05:00,2025-01-16 16:00:00,2025-01-16 16:00:00,2025-01-16 16:30:00,18,1,47.4,56.41111111111112,0.1146
400238,19,4517,4527,4527,10,1,8,4535,2025-01-16 17:05:00,2025-01-16 17:55:00,2025-01-16 17:55:00,2025-01-16 18:35:00,19,1,38.7,52.68421052631578,0.1389
400238,20,4690,4706,4707,16,2,10,4717,2025-01-17 07:40:00,2025-01-17 09:00:00,2025-01-17 09:05:00,2025-01-17 09:55:00,28,2,47.3,57.45357142857143,0.1237
400238,21,4755,4784,4784,29,1,17,4801,2025-01-17 13:05:00,2025-01-17 15:30:00,2025-01-17 15:30:00,2025-01-17 16:55:00,47,1,42.0,54.802127659574474,0.1447
400238,22,4803,4807,4807,4,1,13,4820,2025-01-17 17:05:00,2025-01-17 17:25:00,2025-01-17 17:25:00,2025-01-17 18:30:00,18,1,51.3,56.56111111111111,0.1131
400238,23,5599,5606,5608,7,3,32,5640,2025-01-20 11:40:00,2025-01-21 08:35:00,2025-01-21 08:45:00,2025-01-21 11:25:00,42,3,30.2,44.37142857142857,0.2251
400238,24,5678,5691,5692,13,2,15,5707,2025-01-21 14:35:00,2025-01-21 15:40:00,2025-01-21 15:45:00,2025-01-21 17:00:00,30,2,23.3,50.45666666666666,0.2619
400238,25,5870,5905,5910,35,6,24,5934,2025-01-22 06:35:00,2025-01-22 09:35:00,2025-01-22 10:00:00,2025-01-22 12:00:00,65,6,28.8,47.75692307692307,0.2279
400238,26,5938,5986,5986,48,1,30,6016,2025-01-22 12:20:00,2025-01-22 16:20:00,2025-01-22 16:20:00,2025-01-22 18:50:00,79,1,49.5,55.79873417721518,0.1121
400238,27,6158,6190,6191,32,2,21,6212,2025-01-23 06:40:00,2025-01-23 09:20:00,2025-01-23 09:25:00,2025-01-23 11:10:00,55,2,34.6,52.96909090909092,0.2096
400238,28,6233,6248,6249,15,2,8,6257,2025-01-23 12:55:00,2025-01-23 14:45:00,2025-01-23 14:50:00,2025-01-23 15:30:00,25,2,48.6,57.652,0.1369
400238,29,6258,6261,6261,3,1,4,6265,2025-01-23 15:35:00,2025-01-23 15:50:00,2025-01-23 15:50:00,2025-01-23 16:10:00,8,1,50.0,56.2375,0.1179
400238,30,6275,6283,6285,8,3,8,6293,2025-01-23 17:00:00,2025-01-23 17:40:00,2025-01-23 17:50:00,2025-01-23 18:30:00,19,3,51.0,54.79473684210526,0.1194
400238,31,6523,6543,6543,20,1,14,6557,2025-01-24 13:40:00,2025-01-24 15:20:00,2025-01-24 15:20:00,2025-01-24 16:30:00,35,1,48.4,56.762857142857136,0.13
400238,32,6558,6560,6560,2,1,9,6569,2025-01-24 16:35:00,2025-01-24 16:45:00,2025-01-24 16:45:00,2025-01-24 17:30:00,12,1,47.2,54.525000000000006,0.1456
400238,33,7315,7326,7330,11,5,10,7340,2025-01-27 08:15:00,2025-01-27 09:10:00,2025-01-27 09:30:00,2025-01-27 10:20:00,26,5,31.6,43.93076923076923,0.185
400238,34,7422,7436,7438,14,3,1,7439,2025-01-27 17:10:00,2025-01-27 18:20:00,2025-01-27 18:30:00,2025-01-27 19:10:00,18,3,27.7,46.10555555555555,0.2086
400238,35,7578,7600,7601,22,2,30,7631,2025-01-28 06:45:00,2025-01-28 08:35:00,2025-01-28 08:40:00,2025-01-28 11:10:00,54,2,32.7,51.05185185185187,0.2055
400238,36,7657,7665,7666,8,2,13,7679,2025-01-28 13:20:00,2025-01-28 14:00:00,2025-01-28 14:05:00,2025-01-28 15:10:00,23,2,46.1,57.747826086956536,0.1314
400238,37,7688,7718,7721,30,4,4,7725,2025-01-28 15:55:00,2025-01-28 18:25:00,2025-01-28 18:40:00,2025-01-28 19:00:00,38,4,20.2,35.18421052631578,0.2811
400238,38,7865,7883,7883,18,1,39,7922,2025-01-29 06:40:00,2025-01-29 08:10:00,2025-01-29 08:10:00,2025-01-29 11:25:00,58,1,50.0,56.189655172413794,0.1262
